"State","District","Date","Year","Month","Avg_etlvl_at15cm","Agency_name"
"Andaman & Nicobar","Nicobars","2022-08-25","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-26","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-27","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-28","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-29","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-30","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-31","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-02","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-03","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-04","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-05","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-06","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-07","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-08","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-09","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-10","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-11","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-12","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-13","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-14","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-15","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-16","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-17","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-18","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-19","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-20","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-21","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-22","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-01","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-23","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-08-24","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-08-25","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-08-26","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-08-27","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-08-28","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-08-29","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-08-30","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-08-31","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-08-02","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-08-03","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-08-04","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-08-05","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-08-06","2022","08","NA","NRSC VIC MODEL"
